name,season,WPCT,WAR,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SAC,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WAR*,WPA
Doosan,1,0.508,27.3,1654,5303,4583,732,1266,221,26,130,1929,688,132,34,560,60,27,697,116,54,46,0.276,0.359,0.421,0.78,0.353,102.1,27.3,
Hanwha,1,0.473,25.55,1807,5259,4556,659,1255,211,15,148,1940,628,135,65,549,45,28,877,106,75,34,0.275,0.357,0.426,0.783,0.351,101.1,25.55,
Hyundai,1,0.558,25.44,1653,5225,4445,711,1192,166,20,169,1905,667,99,55,598,76,14,911,109,77,29,0.268,0.363,0.429,0.791,0.356,104.6,25.44,
KIA,1,0.469,24.45,1702,5189,4542,683,1263,221,17,142,1944,637,92,63,497,56,21,774,129,51,43,0.278,0.353,0.428,0.782,0.352,101.6,24.45,
LG,1,0.464,21.7,1803,5319,4521,669,1247,219,24,85,1769,630,96,58,590,52,24,759,100,114,41,0.276,0.363,0.391,0.754,0.342,95.1,21.7,
Lotte,1,0.457,27.54,1747,5308,4521,718,1265,247,24,121,1923,671,106,53,585,60,39,817,89,82,60,0.28,0.366,0.425,0.791,0.354,103.3,27.54,
Samsung,1,0.609,27.89,1650,5280,4553,739,1262,244,21,162,2034,695,73,44,520,95,27,814,111,69,42,0.277,0.36,0.447,0.807,0.36,106.8,27.89,
SK,1,0.458,13.97,1723,5077,4400,596,1143,215,11,113,1719,555,123,59,457,71,23,770,95,122,26,0.26,0.337,0.391,0.728,0.327,84.7,13.97,
Doosan,0,0.571,32.18,1636,5213,4590,694,1325,205,21,150,2022,661,115,29,475,58,10,684,120,43,47,0.289,0.359,0.441,0.8,0.356,110.2,32.18,
Haitai,0,0.442,12.64,1583,5176,4511,588,1137,216,13,86,1637,537,113,53,527,40,16,866,107,64,33,0.252,0.333,0.363,0.696,0.315,83.1,12.64,
Hanwha,0,0.391,27.07,1796,5203,4600,680,1270,265,14,180,2103,655,78,49,449,66,19,997,130,45,43,0.276,0.346,0.457,0.803,0.352,107.5,27.07,
Hyundai,0,0.695,38.53,1633,5240,4478,777,1245,246,25,208,2165,736,104,56,548,94,19,905,87,74,46,0.278,0.365,0.483,0.849,0.369,119.2,38.53,
LG,0,0.515,24.87,1660,5271,4532,687,1239,227,22,122,1876,647,97,43,553,55,21,805,93,84,46,0.273,0.356,0.414,0.77,0.342,100.8,24.87,
Lotte,0,0.504,16.87,1747,5178,4557,603,1186,206,26,104,1756,553,92,48,449,66,19,831,93,82,24,0.26,0.334,0.385,0.719,0.321,87,16.87,
Samsung,0,0.539,27.09,1574,5212,4546,744,1223,246,15,177,2030,708,81,37,496,80,23,967,97,47,43,0.269,0.348,0.447,0.795,0.35,105.9,27.09,
SK,0,0.338,15.12,1722,5111,4492,602,1167,193,23,105,1721,566,67,44,429,77,6,858,107,77,35,0.26,0.332,0.383,0.716,0.321,86.6,15.12,
Doosan,99,0.598,26.54,1655,5229,4587,721,1305,218,31,141,2008,693,136,44,478,49,21,693,126,74,41,0.285,0.355,0.438,0.793,0.346,100.8,26.54,
Haitai,99,0.465,29.08,1591,5256,4549,765,1264,206,12,210,2124,723,98,48,555,58,13,871,105,68,26,0.278,0.362,0.467,0.829,0.359,109.4,29.08,
Hanwha,99,0.554,29.09,1713,5089,4479,731,1268,253,29,197,2170,687,128,70,432,77,14,847,107,59,42,0.283,0.353,0.484,0.838,0.36,109.6,29.09,
Hyundai,99,0.535,20.52,1639,5260,4456,699,1210,187,18,143,1862,652,109,65,537,98,22,780,88,127,42,0.272,0.359,0.418,0.777,0.339,96.2,20.52,
LG,99,0.466,26.26,1578,5180,4574,744,1287,218,40,145,2020,700,99,32,428,78,16,772,91,57,43,0.281,0.35,0.442,0.792,0.345,100.4,26.26,
Lotte,99,0.591,28.06,1708,5186,4498,753,1309,261,34,145,2073,709,98,68,465,72,16,815,93,99,52,0.291,0.363,0.461,0.824,0.355,106.9,28.06,
Samsung,99,0.562,26.99,1594,5254,4555,748,1244,202,14,207,2095,712,140,47,483,96,24,964,90,79,41,0.273,0.352,0.46,0.812,0.35,103.3,26.99,
