name,season,WAR,WPCT,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SAC,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WAR*,WPA,MH,PH-BA,RISP
Doosan,17,34.95,0.596,1825,5833,5102,849,1499,270,20,178,2343,812,69,33,541,95,19,960,120,48,47,0.294,0.369,0.459,0.828,0.364,116.9,34.95,17.72,144,0.2,0.296
Hanwha,17,17.69,0.43,1787,5665,5030,737,1445,261,16,150,2188,684,64,44,416,94,15,974,112,85,38,0.287,0.351,0.435,0.786,0.344,97.4,17.69,8.18,144,0.281,0.29
KIA,17,30.66,0.608,1932,5841,5142,906,1554,292,29,170,2414,868,76,34,499,89,19,891,118,55,56,0.302,0.37,0.469,0.84,0.367,112.5,30.66,20.61,144,0.254,0.324
kt,17,9.84,0.347,1864,5485,4937,655,1360,274,17,119,2025,625,86,51,374,66,11,1017,118,62,45,0.275,0.332,0.41,0.742,0.327,84.7,9.84,-2.29,144,0.239,0.29
LG,17,16.06,0.489,1896,5614,4944,699,1390,216,20,110,1976,664,77,56,438,101,17,1021,123,76,55,0.281,0.348,0.4,0.748,0.333,93.5,16.06,3.6,144,0.217,0.295
Lotte,17,19.78,0.563,1844,5671,4994,743,1425,250,17,151,2162,697,92,44,457,112,33,1018,146,76,32,0.285,0.356,0.433,0.789,0.347,98.1,19.78,12.54,144,0.229,0.28
NC,17,26.54,0.56,1987,5790,5079,786,1489,277,19,149,2251,739,93,32,471,130,19,979,119,62,48,0.293,0.365,0.443,0.808,0.356,107,26.54,12.44,144,0.249,0.292
Nexen,17,23.14,0.486,1813,5712,5098,789,1479,267,30,141,2229,748,70,34,468,83,15,1066,129,21,42,0.29,0.357,0.437,0.794,0.353,102.7,23.14,10.04,144,0.23,0.29
Samsung,17,16.55,0.396,1786,5707,5095,757,1419,255,36,145,2181,703,98,37,429,70,17,983,97,58,55,0.279,0.34,0.428,0.768,0.337,92.5,16.55,5.87,144,0.22,0.285
SK,17,20.5,0.524,1772,5564,4925,761,1337,222,15,234,2291,733,53,42,427,113,20,1100,97,57,41,0.271,0.341,0.465,0.806,0.349,100,20.5,12.43,144,0.237,0.273
Doosan,16,34.81,0.65,1812,5841,5044,935,1504,284,25,183,2387,877,85,45,600,86,11,884,121,43,68,0.298,0.378,0.473,0.851,0.379,116.8,34.81,23.69,144,0.261,0.305
Hanwha,16,17.49,0.468,1888,5838,5109,826,1478,242,27,142,2200,787,64,38,510,91,19,1025,123,87,41,0.289,0.362,0.431,0.792,0.355,95.6,17.49,14.55,144,0.28,0.301
KIA,16,21.4,0.49,1924,5696,4999,803,1429,264,28,170,2259,754,101,50,499,87,12,997,109,66,45,0.286,0.358,0.452,0.81,0.36,99.6,21.4,10.68,144,0.286,0.288
kt,16,9.51,0.373,1921,5620,4963,672,1369,214,11,116,1953,639,96,46,499,48,7,933,130,65,45,0.276,0.345,0.394,0.738,0.336,83.6,9.51,1.72,144,0.22,0.278
LG,16,20.29,0.5,1936,5765,5051,786,1464,238,26,118,2108,744,121,70,523,72,10,982,92,65,54,0.29,0.361,0.417,0.779,0.352,98,20.29,13.27,143,0.236,0.286
Lotte,16,21.46,0.458,1840,5784,5001,777,1439,252,20,127,2112,732,145,64,596,83,18,1061,120,62,41,0.288,0.37,0.422,0.793,0.359,100.4,21.46,14.15,144,0.251,0.285
NC,16,28.87,0.589,1941,5833,5007,857,1457,249,19,169,2251,808,99,41,609,93,18,1023,133,70,52,0.291,0.375,0.45,0.824,0.369,108.6,28.87,16.13,143,0.239,0.302
Nexen,16,23.47,0.538,1780,5702,4990,813,1464,254,39,134,2198,765,154,83,556,63,17,956,121,34,59,0.293,0.368,0.44,0.808,0.364,100.8,23.47,16.99,144,0.244,0.306
Samsung,16,22.21,0.455,1808,5863,5093,852,1492,249,34,142,2235,792,104,50,552,75,15,864,119,88,55,0.293,0.367,0.439,0.806,0.36,100.1,22.21,13.64,144,0.221,0.298
SK,16,20.23,0.479,1834,5672,5023,753,1464,234,19,182,2282,715,89,60,429,102,13,1018,104,71,47,0.291,0.356,0.454,0.811,0.359,100.1,20.23,7.56,142,0.299,0.276
Doosan,15,31.61,0.549,1704,5759,4957,807,1436,254,22,140,2154,770,111,47,567,99,24,820,139,75,60,0.29,0.37,0.435,0.804,0.358,112.1,31.61,14.48,143,0.262,0.287
Hanwha,15,15.69,0.472,1900,5716,4852,717,1316,218,19,130,1962,667,80,47,581,109,33,1135,112,139,35,0.271,0.36,0.404,0.764,0.339,89.8,15.69,11.13,144,0.207,0.269
KIA,15,5.51,0.465,2022,5454,4777,648,1197,223,22,136,1872,602,115,50,454,101,16,1126,105,79,43,0.251,0.326,0.392,0.718,0.32,79,5.51,3.86,144,0.198,0.248
