team,season,WAR,Enter,CG,SHO,G,W,L,SV,HLD,IP,R,ER,TBF,H,2B,3B,HR,BB,IBB,HBP,SO,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA,D,WPCT
Doosan,1,17.56,527,1,0,133,65,63,35,40,1180.1,733,651,5282,1290,,,128,546,17,60,799,0,47,4.96,4.66,1.56,92.2,98.1,17.56,,8,0.464
Hanhwa,1,20.97,498,7,3,133,61,68,25,32,1185,733,638,5331,1288,,,142,541,44,66,813,5,57,4.85,4.72,1.54,100.8,103.5,20.97,,5,0.469
Hyundai,1,25.33,448,6,2,133,72,57,39,22,1183.1,628,570,5218,1250,,,98,531,8,54,757,1,54,4.34,4.37,1.51,108.2,107.4,25.33,,4,0.558
KIA,1,17.06,471,10,3,133,60,68,28,15,1178.2,727,657,5207,1231,,,160,499,17,79,743,3,51,5.02,5.04,1.47,94.8,94.3,17.06,,2,0.458
LG,1,16.18,531,0,0,133,58,67,26,27,1184.2,732,675,5380,1253,,,127,647,43,69,765,6,52,5.13,4.92,1.6,89.5,93.3,16.18,,4,0.457
Lotte,1,21.38,476,0,0,133,59,70,33,28,1171.2,670,609,5189,1238,,,128,523,23,61,790,2,53,4.68,4.62,1.5,100.2,101.5,21.38,,4,0.473
Samsung,1,25.57,427,7,4,133,81,52,43,20,1187.1,644,582,5243,1195,,,132,561,20,61,844,8,38,4.41,4.66,1.48,108.9,103.2,25.57,,0,0.609
SK,1,22.81,404,11,3,133,60,71,33,22,1171.1,640,574,5110,1148,,,155,508,31,65,908,1,54,4.41,4.67,1.41,106.7,100.8,22.81,,5,0.508
Doosan,0,23.62,526,3,1,133,76,57,52,39,1172.2,616,550,5147,1189,,,104,517,19,56,829,11,62,4.22,4.32,1.46,105.8,103.5,23.62,,3,0.515
Haitai,0,17.37,449,10,2,133,57,72,26,20,1197.2,728,659,5349,1284,,,177,491,14,96,881,3,52,4.95,5.04,1.48,94.3,92.6,17.37,,4,0.442
Hanhwa,0,13.92,428,7,2,133,50,78,31,9,1182.2,776,688,5296,1248,,,189,527,15,83,805,2,46,5.24,5.39,1.5,90.8,88.3,13.92,,5,0.391
Hyundai,0,33.47,431,5,2,133,91,40,51,30,1189.2,528,481,5014,1111,,,95,451,10,34,997,4,46,3.64,3.72,1.31,124.2,121.5,33.47,,2,0.695
LG,0,26.5,452,7,1,133,67,63,33,20,1235.2,631,586,5127,1197,,,113,449,19,61,886,7,49,4.27,4.11,1.33,104.8,108.9,26.5,,5,0.539
Lotte,0,28.98,403,8,2,133,65,64,34,12,1196.2,579,534,5083,1136,,,129,442,12,53,917,1,47,4.02,4.24,1.32,115.7,109.7,28.98,,0,0.571
Samsung,0,23.36,448,6,2,133,69,59,34,28,1184.1,670,610,5229,1233,,,130,524,6,77,880,9,52,4.64,4.61,1.48,102.3,102.9,23.36,,4,0.504
SK,0,6.87,523,1,0,133,44,86,21,9,1165.2,847,776,5360,1393,,,195,524,38,76,718,2,48,5.99,5.55,1.65,77.5,83.7,6.87,,3,0.338
Doosan,99,23.49,545,4,1,132,76,51,40,0,1188,657,605,5182,1192,,,133,521,12,72,837,12,61,4.58,4.79,1.44,105.2,100.7,23.49,,5,0.535
Haitai,99,17.46,450,3,1,132,60,69,28,0,1168.1,743,676,5198,1267,,,182,462,23,104,782,4,47,5.21,5.35,1.48,97.5,94.8,17.46,,1,0.466
Hanhwa,99,24.04,423,13,3,132,72,58,42,0,1170,701,635,5097,1205,,,171,415,18,61,866,10,50,4.88,4.87,1.39,104.4,104.8,24.04,,2,0.554
Hyundai,99,25.35,467,10,1,132,68,59,25,0,1181.1,646,587,5188,1268,,,141,473,11,60,910,6,32,4.47,4.61,1.47,110.4,107.1,25.35,,5,0.591
LG,99,15.42,564,2,1,132,61,70,40,0,1161.1,773,708,5236,1301,,,157,511,16,78,813,8,70,5.49,5.11,1.56,88.6,95.1,15.42,,3,0.465
Lotte,99,28.67,405,15,2,132,75,52,34,0,1178,590,547,5002,1125,,,146,431,14,54,852,6,52,4.18,4.64,1.32,120.1,108.3,28.67,,5,0.598
Samsung,99,24.11,458,4,1,132,73,57,40,0,1195.2,748,685,5332,1295,,,157,502,20,60,929,5,59,5.16,4.79,1.5,98.3,106,24.11,,2,0.562
Ssangbangwool,99,10.9,501,6,1,132,28,97,14,0,1163.2,826,757,5273,1342,,,187,481,20,103,661,8,63,5.85,5.68,1.57,84.2,86.8,10.9,,7,0.224
Haitai,98,24.06,387,6,3,126,61,64,39,0,1108.1,531,481,4678,1064,,,121,351,32,76,870,0,35,3.91,3.82,1.28,103.5,106,24.06,,1,0.504
Hanhwa,98,21.02,396,8,2,126,55,66,30,0,1118.2,578,529,4783,1105,,,114,405,31,40,840,2,41,4.26,3.83,1.35,96.1,106.9,21.02,,3,0.496
Hyundai,98,27.63,384,11,6,126,81,45,33,0,1121,445,377,4684,984,,,98,415,14,33,875,1,37,3.03,3.63,1.25,131.4,109.4,27.63,,0,0.643
LG,98,15.79,496,3,1,126,63,62,31,0,1121.1,586,521,4808,1132,,,111,350,20,78,688,1,34,4.18,4.05,1.32,92.5,95.6,15.79,,5,0.455
Lotte,98,15.47,361,20,4,126,50,72,17,0,1114,646,570,4812,1149,,,115,381,27,74,693,2,52,4.61,4.15,1.37,87.9,97.6,15.47,,4,0.41
OB,98,22.15,399,15,6,126,61,62,28,0,1116.2,506,447,4743,1054,,,88,425,22,55,774,3,59,3.6,3.77,1.32,106.9,102.3,22.15,,2,0.532
Samsung,98,16.21,374,10,0,126,66,58,26,0,1128,584,541,4894,1120,,,133,477,35,69,723,1,42,4.32,4.51,1.42,95.2,91.2,16.21,,2,0.468
Ssangbangwool,98,17.36,533,5,1,126,58,66,26,0,1115.1,570,501,4778,1137,,,111,359,21,83,631,4,44,4.04,4.19,1.34,98.3,94.8,17.36,,1,0.488
Haitai,97,24.75,374,11,4,126,75,50,38,0,1129,510,458,4713,986,,,108,390,34,89,794,5,35,3.65,3.89,1.22,111.6,104.7,24.75,,1,0.599
Hanhwa,97,20.2,341,20,7,126,51,73,29,0,1115,554,503,4681,1024,,,129,412,25,50,792,3,41,4.06,4.13,1.29,99.7,97.9,20.2,,5,0.472
Hyundai,97,16.58,422,9,1,126,51,71,37,0,1108.1,582,519,4734,1050,,,123,423,24,57,755,2,38,4.21,4.19,1.33,94.7,95.3,16.58,,2,0.413
LG,97,22.44,476,4,1,126,73,51,45,0,1121.1,512,471,4713,1045,,,101,369,40,74,708,6,24,3.78,3.86,1.26,102.8,100.7,22.44,,2,0.571
Lotte,97,14.68,389,9,0,126,48,77,25,0,1111.1,621,566,4839,1155,,,116,464,26,47,640,2,47,4.58,4.39,1.46,89.4,93.4,14.68,,1,0.385
OB,97,21.87,439,8,2,126,57,64,36,0,1123,551,479,4835,1090,,,67,453,35,67,784,7,66,3.84,3.55,1.37,101.6,110,21.87,,7,0.552
Samsung,97,17.72,386,9,2,126,66,53,38,0,1131,605,532,4911,1107,,,97,491,36,95,678,2,54,4.23,4.25,1.41,97.9,97.5,17.72,,4,0.421
Ssangbangwool,97,22.81,488,6,1,126,71,53,42,0,1109.2,518,471,4716,1075,,,93,378,20,87,689,3,34,3.82,3.92,1.31,105.1,102.3,22.81,,2,0.587
Haitai,96,26.57,358,22,8,126,73,51,25,0,1133.2,441,396,4618,945,,,98,373,18,66,805,2,28,3.14,3.61,1.16,119,103.7,26.57,,2,0.587
Hanhwa,96,24.31,330,21,7,126,70,55,31,0,1132.2,532,477,4742,1025,,,98,351,22,56,949,0,43,3.79,3.26,1.22,96.2,112,24.31,,2,0.563
Hyundai,96,25.8,399,7,3,126,67,54,36,0,1140.2,454,385,4707,974,,,76,378,30,54,749,4,39,3.04,3.4,1.19,120.8,108,25.8,,5,0.552
LG,96,12.95,419,7,1,126,50,71,29,0,1128.2,593,516,4864,1112,,,88,420,27,89,653,7,19,4.11,3.93,1.36,86.9,91.1,12.95,,6,0.397
Lotte,96,16.87,372,22,2,126,57,63,17,0,1120.2,580,518,4786,1127,,,93,397,30,55,684,1,38,4.16,3.78,1.36,90.6,99.8,16.87,,6,0.476
OB,96,16.77,407,14,5,126,47,73,23,0,1115.2,516,455,4739,1036,,,79,440,37,58,663,3,49,3.67,3.76,1.32,96.7,94.4,16.77,,5,0.448
Samsung,96,14.2,358,11,2,126,54,67,29,0,1121.1,585,529,4921,1093,,,90,528,28,102,657,1,43,4.25,4.27,1.45,88.9,88.5,14.2,,5,0.417
Ssangbangwool,96,24.03,408,15,9,126,70,54,36,0,1125.1,460,416,4761,1030,,,64,420,28,93,744,5,26,3.33,3.5,1.29,110.7,105.3,24.03,,1,0.56
Haitai,95,31.38,316,15,4,126,64,58,40,0,1127.2,434,384,4620,953,,,79,354,19,75,872,3,44,3.06,3.27,1.16,123,115.5,31.38,,5,0.607
Hanhwa,95,16.96,274,36,8,126,55,71,24,0,1119,566,502,4812,1091,,,102,411,18,55,793,2,40,4.04,3.78,1.34,91.6,97.9,16.96,,5,0.401
LG,95,23.69,349,22,5,126,74,48,40,0,1122.1,456,400,4637,996,,,62,322,17,58,607,6,28,3.21,3.42,1.17,111,104.2,23.69,,5,0.56
Lotte,95,23.9,340,19,5,126,68,53,28,0,1137.1,493,439,4658,1049,,,83,328,13,53,642,2,32,3.47,3.6,1.21,109.2,105.3,23.9,,4,0.603
OB,95,21.67,320,22,8,126,74,47,35,0,1148.1,500,437,4800,1031,,,68,399,24,56,701,3,30,3.42,3.49,1.25,103.9,102.1,21.67,,4,0.524
Samsung,95,17.63,334,18,5,126,60,60,28,0,1116,555,483,4807,1018,,,78,450,5,90,672,7,33,3.9,3.95,1.32,97.1,95.7,17.63,,0,0.437
Ssangbangwool,95,8.31,322,21,5,126,45,78,21,0,1109,636,575,4860,1134,,,124,476,29,80,622,3,23,4.67,4.57,1.45,80,81.7,8.31,,3,0.369
Taepyeongyang,95,19.24,318,21,5,126,48,73,24,0,1112,548,484,4754,1109,,,84,383,36,47,690,3,47,3.92,3.61,1.34,94.7,102.7,19.24,,6,0.5
Haitai,94,21.88,284,28,6,126,65,59,24,0,1119.1,509,448,4702,999,,,92,406,20,73,737,6,23,3.6,3.79,1.26,106.5,101.2,21.88,,2,0.524
Hanhwa,94,23.44,270,22,5,126,65,59,29,0,1123.2,510,440,4716,1036,,,95,361,27,40,745,3,34,3.52,3.58,1.24,107.6,105.8,23.44,,2,0.524
LG,94,23.62,360,24,9,126,81,45,46,0,1120,452,391,4605,1007,,,68,332,19,60,581,3,23,3.14,3.56,1.2,116,102.3,23.62,,3,0.552
Lotte,94,15.33,333,14,3,126,56,67,35,0,1112.1,604,549,4791,1156,,,101,419,25,44,590,4,35,4.44,4.11,1.42,86.8,93.8,15.33,,1,0.425
OB,94,16.43,326,28,9,126,53,72,18,0,1107.2,507,426,4676,1042,,,56,404,16,58,670,2,39,3.46,3.47,1.31,105.2,105,16.43,,3,0.456
Samsung,94,21.41,299,26,6,126,60,64,24,0,1117,499,431,4702,1021,,,85,413,10,52,657,2,44,3.47,3.85,1.28,110.7,100,21.41,,2,0.484
Ssangbangwool,94,9.73,306,13,3,126,47,74,30,0,1115.2,634,587,4890,1169,,,110,473,19,74,634,1,33,4.74,4.38,1.47,79.1,85.6,9.73,,5,0.393
Taepyeongyang,94,28.42,314,17,3,126,68,55,47,0,1121,471,436,4746,1110,,,59,359,12,44,645,3,40,3.5,3.39,1.31,109.7,113.3,28.42,,0,0.643
Binggrae,93,18.37,258,33,5,126,61,61,25,0,1127.2,491,434,4720,1035,,,84,370,7,49,669,2,31,3.46,3.34,1.25,95.9,99.4,18.37,,1,0.496
Haitai,93,28.04,322,16,6,126,81,42,43,0,1129.1,420,367,4630,935,,,76,372,8,75,802,2,21,2.92,3.09,1.16,113.5,107.6,28.04,,3,0.655
LG,93,19.69,349,19,6,126,66,57,36,0,1126.2,440,384,4696,1020,,,71,385,23,64,655,3,20,3.07,3.26,1.25,103,97,19.69,,4,0.5
Lotte,93,21.36,265,44,14,126,62,63,17,0,1120.2,462,415,4669,1088,,,57,348,11,30,512,2,28,3.33,3.2,1.28,100.8,105.1,21.36,,3,0.536
OB,93,26.21,296,26,9,126,66,55,27,0,1128,405,362,4618,949,,,39,386,14,49,684,3,30,2.89,2.82,1.18,108.5,111,26.21,,5,0.599
Samsung,93,21.55,298,28,11,126,73,48,31,0,1137,433,373,4728,991,,,72,457,13,50,683,6,27,2.95,3.39,1.27,112.8,98.2,21.55,,5,0.544
Ssangbangwool,93,10.67,280,24,4,126,43,78,30,0,1106,551,491,4787,1032,,,88,528,12,62,654,3,22,4,3.88,1.41,81.9,84.3,10.67,,10,0.31
Taepyeongyang,93,16.72,249,36,2,126,34,82,15,0,1134.2,516,451,4801,1095,,,65,412,21,39,635,2,21,3.58,3.23,1.33,91,100.9,16.72,,5,0.361
Binggrae,92,25.64,270,26,7,126,81,43,35,0,1120,520,458,4747,1024,,,108,415,19,53,653,0,38,3.68,4.07,1.29,117.6,106.4,25.64,,0,0.563
Haitai,92,22.23,291,25,7,126,71,54,28,0,1105.1,571,517,4767,1101,,,118,405,13,69,678,2,30,4.21,4.19,1.36,102.7,103.1,22.23,,1,0.567
LG,92,19.83,357,21,5,126,53,70,20,0,1130.2,616,539,4967,1170,,,83,487,35,65,648,2,25,4.29,3.96,1.47,97.2,105.3,19.83,,2,0.54
Lotte,92,23.36,277,39,6,126,71,55,17,0,1113.2,581,529,4778,1152,,,99,410,12,37,581,1,42,4.28,4.06,1.4,103,108.4,23.36,,2,0.651
OB,92,19.25,309,30,4,126,56,66,21,0,1127,582,528,4878,1105,,,96,493,17,61,595,1,50,4.22,4.26,1.42,98.5,97.5,19.25,,4,0.46
Samsung,92,17.53,329,23,6,126,67,57,25,0,1125.2,636,569,4984,1085,,,102,636,9,52,640,3,50,4.55,4.63,1.53,96.4,94.7,17.53,,3,0.433
Ssangbangwool,92,12.11,350,14,4,126,41,84,17,0,1091.2,686,588,4828,1106,,,140,516,21,65,600,1,44,4.85,4.89,1.49,90.1,89.4,12.11,,1,0.329
Taepyeongyang,92,18.44,276,26,2,126,56,67,25,0,1111,609,553,4848,1128,,,125,509,27,45,653,2,29,4.48,4.49,1.47,96.4,96.2,18.44,,3,0.456
Binggrae,91,23.5,281,30,5,126,72,49,26,0,1102.2,493,411,4754,1014,,,75,420,25,73,601,8,17,3.35,3.76,1.3,118.3,105.6,23.5,,5,0.591
Haitai,91,34.99,276,34,10,126,79,42,28,0,1130.2,409,363,4546,925,,,73,324,11,53,776,6,21,2.89,3.13,1.11,137.4,127,34.99,,5,0.647
LG,91,15.95,287,27,3,126,53,72,24,0,1114.2,607,543,4889,1125,,,90,446,23,70,622,7,26,4.38,3.95,1.41,87.9,97.6,15.95,,3,0.425
Lotte,91,22.95,268,39,5,122,61,59,13,0,1085.1,527,472,4589,1019,,,67,431,10,51,612,7,26,3.91,3.67,1.34,104,110.9,22.95,,1,0.56
OB,91,13.88,311,28,6,126,51,73,12,0,1119.2,603,538,4850,1093,,,82,510,24,56,489,10,30,4.32,4.22,1.43,89.4,91.6,13.88,,2,0.413
Samsung,91,18.28,347,14,4,126,70,55,38,0,1128.2,579,531,4860,1131,,,108,484,22,40,527,6,32,4.23,4.33,1.43,95.9,93.7,18.28,,2,0.444
Ssangbangwool,91,14.41,350,13,3,126,52,71,31,0,1099.2,638,573,4838,1101,,,116,556,26,64,551,12,35,4.69,4.68,1.51,87.5,87.7,14.41,,1,0.425
Taepyeongyang,91,18.81,317,33,6,130,55,72,20,0,1157.1,590,532,4965,1106,,,100,517,33,43,626,6,39,4.14,4.1,1.4,94.6,95.6,18.81,,3,0.496
