team,season,WAR,Enter,CG,SHO,G,W,L,SV,HLD,IP,R,ER,TBF,H,2B,3B,HR,BB,IBB,HBP,SO,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA,AVG,BSV,NP,QS,SAC,SF,WPCT
Doosan,17,21.16,590,3,2,144,84,57,35,46,1288,678,627,5682,1405,234,31,125,464,11,87,956,4,54,4.38,4.77,1.45,109.8,101,21.16,-3.94,0.28,13,22169,69,77,39,0.596
Hanhwa,17,12.98,634,1,0,144,61,81,31,49,1273,820,749,5698,1474,278,16,166,446,13,100,914,4,77,5.3,5.25,1.51,94.4,95.8,12.98,-18.16,0.293,21,22066,54,71,57,0.43
KIA,17,19.35,582,5,2,144,87,56,33,46,1290,743,691,5748,1518,255,21,137,434,22,77,985,4,69,4.82,4.73,1.51,103.6,106,19.35,-5.01,0.295,18,22223,75,52,46,0.608
kt,17,12.69,588,4,2,144,50,94,22,41,1256,876,806,5702,1524,283,27,174,433,11,95,913,6,77,5.78,5.32,1.56,87.6,94,12.69,-19.75,0.301,18,21518,49,68,49,0.347
LG,17,18.81,619,4,1,144,69,72,32,66,1279,677,614,5507,1305,249,29,124,379,31,102,1040,3,81,4.32,4.43,1.32,111.9,108.8,18.81,-5.25,0.266,18,21107,62,57,54,0.489
Lotte,17,25.13,623,1,0,144,80,62,39,59,1287.1,701,653,5634,1357,245,20,162,477,25,79,1096,7,67,4.57,4.91,1.43,110.8,102.8,25.13,-3.64,0.273,21,21978,61,51,50,0.563
NC,17,15.85,620,1,0,144,79,62,32,51,1284.2,745,673,5640,1342,208,9,169,470,12,93,1097,3,93,4.71,5.02,1.41,104.9,99.1,15.85,-3.91,0.269,11,22176,48,63,29,0.56
Nexen,17,18.43,554,2,1,144,69,73,40,66,1271,764,714,5663,1488,280,21,149,388,10,97,1005,3,56,5.06,4.8,1.48,98.8,101.9,18.43,-12.17,0.292,18,21258,60,47,40,0.486
Samsung,17,6.62,613,1,0,144,55,84,27,34,1281.1,911,840,5916,1541,281,28,187,548,15,118,1063,4,74,5.9,5.5,1.63,86.2,91.9,6.62,-20.24,0.3,12,23196,43,56,59,0.396
SK,17,16.87,608,2,1,144,75,68,30,64,1270.2,767,710,5692,1443,271,17,154,481,35,105,940,7,61,5.03,5.13,1.51,100,98.6,16.87,-9.09,0.288,24,21752,57,58,36,0.524
Doosan,16,24.93,579,2,2,144,93,50,36,55,1287.2,682,638,5658,1385,246,30,136,498,7,77,982,4,66,4.46,4.96,1.46,114.6,101,24.93,-2.18,0.279,15,22155,75,59,51,0.65
Hanhwa,16,13.12,680,1,0,144,67,75,24,39,1292.2,908,828,5937,1520,230,15,155,634,23,76,976,6,72,5.76,5.44,1.67,91.1,96.5,13.12,-19.05,0.299,13,23157,25,81,59,0.468
KIA,16,19.63,635,7,1,144,71,73,38,74,1276,785,708,5771,1456,230,23,131,561,18,59,965,7,69,4.99,5.03,1.58,103.7,103.8,19.63,-12.19,0.29,21,22527,58,75,54,0.49
kt,16,8.82,693,1,1,144,53,89,27,48,1273,927,839,5896,1593,315,38,145,560,9,84,980,9,77,5.93,5.23,1.69,88.1,99.9,8.82,-19.72,0.31,15,23328,38,73,45,0.373
LG,16,14.32,676,2,2,144,71,71,34,75,1287.2,807,729,5782,1426,243,23,122,539,27,109,909,1,84,5.1,5.06,1.53,99.8,99,14.32,-13.17,0.284,16,22100,53,64,56,0.5
Lotte,16,11.08,669,3,2,145,66,79,27,59,1266.1,865,792,5785,1486,276,32,161,585,27,78,1009,5,82,5.63,5.36,1.64,92.8,97.5,11.08,-20.15,0.297,18,22761,50,60,52,0.458
NC,16,25.78,628,0,0,144,83,58,36,62,1286.1,690,642,5643,1314,208,18,137,516,2,86,1147,7,84,4.49,4.79,1.42,113.3,107.4,25.78,-3.7,0.266,13,22029,42,53,40,0.589
Nexen,16,21.57,608,0,0,144,77,66,39,74,1280.1,757,705,5684,1487,249,27,152,435,3,68,895,3,50,4.96,5.11,1.5,106,101.4,21.57,-11.47,0.294,17,21627,45,66,59,0.538
Samsung,16,12.55,647,2,0,144,65,78,34,60,1282.1,869,804,5799,1507,251,20,193,518,6,87,935,8,52,5.64,5.69,1.58,93.4,91.7,12.55,-20.19,0.296,18,22623,49,59,43,0.455
SK,16,18.28,600,1,0,144,69,75,31,43,1274,784,699,5659,1386,232,22,151,527,18,76,945,7,65,4.94,5.23,1.5,105.7,100.3,18.28,-10.56,0.28,12,21558,60,61,48,0.479
Doosan,15,14.37,623,3,2,144,79,65,30,57,1286,776,719,5762,1385,248,22,138,584,15,77,1064,11,75,5.03,4.86,1.53,93.2,96,14.37,-7.41,0.28,18,22557,58,104,45,0.549
Hanhwa,15,11.91,672,5,3,144,68,76,32,44,1279.2,800,727,5771,1349,232,12,157,648,38,96,920,9,85,5.11,5.43,1.56,97.4,90.9,11.91,-14.97,0.275,14,22825,37,82,45,0.472
KIA,15,20.09,628,1,1,144,67,77,32,65,1273,739,679,5673,1371,252,31,143,572,22,98,979,4,80,4.8,5.07,1.53,102.8,97.7,20.09,-8.59,0.283,17,22126,44,101,49,0.465
kt,15,12.82,652,3,0,144,52,91,16,31,1266.2,875,782,5799,1518,273,25,154,577,17,87,1046,4,88,5.56,5.08,1.65,90.4,96.6,12.82,-21.93,0.303,10,22867,34,87,43,0.364
LG,15,22.22,616,3,1,144,64,78,25,44,1279.2,721,660,5599,1352,227,26,125,490,30,98,1063,3,83,4.64,4.53,1.44,101.1,103.3,22.22,-6.96,0.277,15,21661,57,91,37,0.451
Lotte,15,14.19,618,3,1,144,66,77,19,47,1281.1,802,727,5724,1461,253,13,164,489,26,87,1015,3,90,5.11,4.98,1.52,98.7,99,14.19,-12.54,0.291,18,22356,59,76,49,0.462
NC,15,21.59,635,1,0,144,84,57,37,55,1279.1,655,606,5536,1283,221,17,149,436,13,113,1057,3,60,4.26,4.73,1.34,112.4,103.1,21.59,0.22,0.264,11,21650,55,79,50,0.596
Nexen,15,17.54,587,1,1,144,78,65,29,44,1286,790,707,5709,1404,236,28,146,518,7,81,1066,4,85,4.95,4.81,1.5,100.6,103.2,17.54,-12.81,0.281,11,22181,49,70,45,0.545
